User ID,Kelamin,Usia,EstimasiGaji,Beli
15624510,Laki,19,19000,0
15810944,Laki,35,20000,0
15668575,Perempuan,26,43000,0
15603246,Perempuan,27,57000,0
15804002,Laki,19,76000,0
15728773,Laki,27,58000,0
15598044,Perempuan,27,84000,0
15694829,Perempuan,32,150000,1
15600575,Laki,25,33000,0
15727311,Perempuan,35,65000,0
15570769,Perempuan,26,80000,0
15606274,Perempuan,26,52000,0
15746139,Laki,20,86000,0
15704987,Laki,32,18000,0
15628972,Laki,18,82000,0
15697686,Laki,29,80000,0
15733883,Laki,47,25000,1
15617482,Laki,45,26000,1
15704583,Laki,46,28000,1
15621083,Perempuan,48,29000,1
15649487,Laki,45,22000,1
15736760,Perempuan,47,49000,1
15714658,Laki,48,41000,1
15599081,Perempuan,45,22000,1
15705113,Laki,46,23000,1
15631159,Laki,47,20000,1
15792818,Laki,49,28000,1
15633531,Perempuan,47,30000,1
15744529,Laki,29,43000,0
15669656,Laki,31,18000,0
15581198,Laki,31,74000,0
15729054,Perempuan,27,137000,1
15573452,Perempuan,21,16000,0
15776733,Perempuan,28,44000,0
15724858,Laki,27,90000,0
15713144,Laki,35,27000,0
15690188,Perempuan,33,28000,0
15689425,Laki,30,49000,0
15671766,Perempuan,26,72000,0
15782806,Perempuan,27,31000,0
15764419,Perempuan,27,17000,0
15591915,Perempuan,33,51000,0
15772798,Laki,35,108000,0
15792008,Laki,30,15000,0
15715541,Perempuan,28,84000,0
15639277,Laki,23,20000,0
15798850,Laki,25,79000,0
15776348,Perempuan,27,54000,0
15727696,Laki,30,135000,1
15793813,Perempuan,31,89000,0
15694395,Perempuan,24,32000,0
15764195,Perempuan,18,44000,0
15744919,Perempuan,29,83000,0
15671655,Perempuan,35,23000,0
15654901,Perempuan,27,58000,0
15649136,Perempuan,24,55000,0
15775562,Perempuan,23,48000,0
15807481,Laki,28,79000,0
15642885,Laki,22,18000,0
15789109,Perempuan,32,117000,0
15814004,Laki,27,20000,0
15673619,Laki,25,87000,0
15595135,Perempuan,23,66000,0
15583681,Laki,32,120000,1
15605000,Perempuan,59,83000,0
15718071,Laki,24,58000,0
15679760,Laki,24,19000,0
15654574,Perempuan,23,82000,0
15577178,Perempuan,22,63000,0
15595324,Perempuan,31,68000,0
15756932,Laki,25,80000,0
15726358,Perempuan,24,27000,0
15595228,Perempuan,20,23000,0
15782530,Perempuan,33,113000,0
15592877,Laki,32,18000,0
15651983,Laki,34,112000,1
15746737,Laki,18,52000,0
15774179,Perempuan,22,27000,0
15667265,Perempuan,28,87000,0
15655123,Perempuan,26,17000,0
15595917,Laki,30,80000,0
15668385,Laki,39,42000,0
15709476,Laki,20,49000,0
15711218,Laki,35,88000,0
15798659,Perempuan,30,62000,0
15663939,Perempuan,31,118000,1
15694946,Laki,24,55000,0
15631912,Perempuan,28,85000,0
15768816,Laki,26,81000,0
15682268,Laki,35,50000,0
15684801,Laki,22,81000,0
15636428,Perempuan,30,116000,0
15809823,Laki,26,15000,0
15699284,Perempuan,29,28000,0
15786993,Perempuan,29,83000,0
15709441,Perempuan,35,44000,0
15710257,Perempuan,35,25000,0
15582492,Laki,28,123000,1
15575694,Laki,35,73000,0
15756820,Perempuan,28,37000,0
15766289,Laki,27,88000,0
15593014,Laki,28,59000,0
15584545,Perempuan,32,86000,0
15675949,Perempuan,33,149000,1
15672091,Perempuan,19,21000,0
15801658,Laki,21,72000,0
15706185,Perempuan,26,35000,0
15789863,Laki,27,89000,0
15720943,Laki,26,86000,0
15697997,Perempuan,38,80000,0
15665416,Perempuan,39,71000,0
15660200,Perempuan,37,71000,0
15619653,Laki,38,61000,0
15773447,Laki,37,55000,0
15739160,Laki,42,80000,0
15689237,Laki,40,57000,0
15679297,Laki,35,75000,0
15591433,Laki,36,52000,0
15642725,Laki,40,59000,0
15701962,Laki,41,59000,0
15811613,Perempuan,36,75000,0
15741049,Laki,37,72000,0
15724423,Perempuan,40,75000,0
15574305,Laki,35,53000,0
15678168,Perempuan,41,51000,0
15697020,Perempuan,39,61000,0
15610801,Laki,42,65000,0
15745232,Laki,26,32000,0
15722758,Laki,30,17000,0
15792102,Perempuan,26,84000,0
15675185,Laki,31,58000,0
15801247,Laki,33,31000,0
15725660,Laki,30,87000,0
15638963,Perempuan,21,68000,0
15800061,Perempuan,28,55000,0
15578006,Laki,23,63000,0
15668504,Perempuan,20,82000,0
15687491,Laki,30,107000,1
15610403,Perempuan,28,59000,0
15741094,Laki,19,25000,0
15807909,Laki,19,85000,0
15666141,Perempuan,18,68000,0
15617134,Laki,35,59000,0
15783029,Laki,30,89000,0
15622833,Perempuan,34,25000,0
15746422,Perempuan,24,89000,0
15750839,Perempuan,27,96000,1
15749130,Perempuan,41,30000,0
15779862,Laki,29,61000,0
15767871,Laki,20,74000,0
15679651,Perempuan,26,15000,0
15576219,Laki,41,45000,0
15699247,Laki,31,76000,0
15619087,Perempuan,36,50000,0
15605327,Laki,40,47000,0
15610140,Perempuan,31,15000,0
15791174,Laki,46,59000,0
15602373,Laki,29,75000,0
15762605,Laki,26,30000,0
15598840,Perempuan,32,135000,1
15744279,Laki,32,100000,1
15670619,Laki,25,90000,0
15599533,Perempuan,37,33000,0
15757837,Laki,35,38000,0
15697574,Perempuan,33,69000,0
15578738,Perempuan,18,86000,0
15762228,Perempuan,22,55000,0
15614827,Perempuan,35,71000,0
15789815,Laki,29,148000,1
15579781,Perempuan,29,47000,0
15587013,Laki,21,88000,0
15570932,Laki,34,115000,0
15794661,Perempuan,26,118000,0
15581654,Perempuan,34,43000,0
15644296,Perempuan,34,72000,0
15614420,Perempuan,23,28000,0
15609653,Perempuan,35,47000,0
15594577,Laki,25,22000,0
15584114,Laki,24,23000,0
15673367,Perempuan,31,34000,0
